scan_id,map_name,primary_state,date_on_map,map_scale,grid_size,geotiff_url,metadata_url,westbc,eastbc,northbc,southbc,product_filesize
223154,Harlansburg,Pennsylvania,1961,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Harlansburg_223154_1961_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Harlansburg_223154_1961_24000_geo.xml,-80.25000000,-80.12500000,41.12500000,41.00000000,11394359
170752,Harmonsburg,Pennsylvania,1959,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Harmonsburg_170752_1959_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Harmonsburg_170752_1959_24000_geo.xml,-80.37500000,-80.25000000,41.75000000,41.62500000,10275644
171782,Harrisburg East,Pennsylvania,1969,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Harrisburg%20East_171782_1969_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Harrisburg_East_171782_1969_24000_geo.xml,-76.87500000,-76.75000000,40.37500000,40.25000000,12176166
171787,Harrisburg West,Pennsylvania,1969,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Harrisburg%20West_171787_1969_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Harrisburg_West_171787_1969_24000_geo.xml,-77.00000000,-76.87500000,40.37500000,40.25000000,13852812
171816,Harrison Valley,Pennsylvania,1957,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Harrison%20Valley_171816_1957_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Harrison_Valley_171816_1957_24000_geo.xml,-77.75000000,-77.62500000,42.00000000,41.87500000,11041672
171817,Hartleton,Pennsylvania,1965,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Hartleton_171817_1965_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Hartleton_171817_1965_24000_geo.xml,-77.25000000,-77.12500000,41.00000000,40.87500000,10768039
171819,Hartstown,Pennsylvania,1959,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Hartstown_171819_1959_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Hartstown_171819_1959_24000_geo.xml,-80.50000000,-80.37500000,41.62500000,41.50000000,9492675
8032250,Harvey Lake,Pennsylvania,1949,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Harvey%20Lake_8032250_1949_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Harvey_Lake_8032250_1949_24000_geo.xml,-76.12500000,-76.00000000,41.37500000,41.25000000,12979494
171922,Harveys Lake,Pennsylvania,1949,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Harveys%20Lake_171922_1949_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Harveys_Lake_171922_1949_24000_geo.xml,-76.12500000,-76.00000000,41.37500000,41.25000000,11483271
171928,Hastings,Pennsylvania,1961,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Hastings_171928_1961_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Hastings_171928_1961_24000_geo.xml,-78.75000000,-78.62500000,40.75000000,40.62500000,11458176
171933,Hatboro,Pennsylvania,1966,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Hatboro_171933_1966_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Hatboro_171933_1966_24000_geo.xml,-75.12500000,-75.00000000,40.25000000,40.12500000,16331023
461756,Hawley,Pennsylvania,1966,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Hawley_461756_1966_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Hawley_461756_1966_24000_geo.xml,-75.25000000,-75.12500000,41.50000000,41.37500000,9408491
171937,Hazel Hurst,Pennsylvania,1969,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Hazel%20Hurst_171937_1969_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Hazel_Hurst_171937_1969_24000_geo.xml,-78.62500000,-78.50000000,41.75000000,41.62500000,10802346
171939,Hazen,Pennsylvania,1966,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Hazen_171939_1966_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Hazen_171939_1966_24000_geo.xml,-79.00000000,-78.87500000,41.25000000,41.12500000,9755701
